case,pmid,pmcid,doi,source,family,available,ok,status,parse_ok,elapsed_ms,bytes,quality_bits,license,failure,abstract_chars,section_count,section_title_count,paragraph_count,table_count,reference_count,document_count,passage_count,section_type_count,text_chars,annotation_count
jats_verified_pmid,27083046,PMC4878868,10.7554/elife.14211,current_europe_pmc_fullTextXML_by_pmcid,current_europe_pmc_fulltextxml_pmcid,True,True,200,True,792,206254,has_title;has_abstract;section_count;paragraph_count;reference_count,,,852,21,43,212,0,48,0,0,0,0,0
jats_verified_pmid,27083046,PMC4878868,10.7554/elife.14211,current_europe_pmc_fullTextXML_by_pmid,current_europe_pmc_fulltextxml_pmid,False,False,404,False,442,0,,,404,0,0,0,0,0,0,0,0,0,0,0
jats_verified_pmid,27083046,PMC4878868,10.7554/elife.14211,europe_pmc_core_search,europe_pmc_core_metadata,True,True,200,True,408,6683,,cc by,,0,0,0,0,0,0,0,0,0,0,0
jats_verified_pmid,27083046,PMC4878868,10.7554/elife.14211,ncbi_bioc_pmc_by_pmcid,ncbi_bioc_pmcid,True,True,200,True,265,182357,has_title;has_abstract;has_fulltext_signal;has_references,CC BY,,0,0,0,0,0,0,1,298,12,104931,0
jats_verified_pmid,27083046,PMC4878868,10.7554/elife.14211,ncbi_bioc_pmc_by_pmid,ncbi_bioc_pmid,True,True,200,True,202,182357,has_title;has_abstract;has_fulltext_signal;has_references,CC BY,,0,0,0,0,0,0,1,298,12,104931,0
jats_verified_pmid,27083046,PMC4878868,10.7554/elife.14211,pmc_oa_manifest,pmc_oa_manifest,True,True,200,True,97,430,has_tgz,CC BY,,0,0,0,0,0,0,0,0,0,0,0
jats_verified_pmid,27083046,PMC4878868,10.7554/elife.14211,pubtator3_biocjson_by_pmcid,pubtator3_pmcid,False,False,400,False,97,35,,,"[""pmids is a mandatory parameter.""]",0,0,0,0,0,0,0,0,0,0,0
jats_verified_pmid,27083046,PMC4878868,10.7554/elife.14211,pubtator3_biocjson_by_pmid,pubtator3_pmid,True,True,200,True,103,4785,has_title;has_abstract;has_entity_annotations,,,0,0,0,0,0,0,1,2,2,917,10
ncbi_bioc_sample,17299597,PMC1790863,10.1371/journal.pone.0000217,current_europe_pmc_fullTextXML_by_pmcid,current_europe_pmc_fulltextxml_pmcid,True,True,200,True,696,93402,has_title;has_abstract;section_count;paragraph_count;reference_count,,,1246,29,31,75,0,33,0,0,0,0,0
ncbi_bioc_sample,17299597,PMC1790863,10.1371/journal.pone.0000217,current_europe_pmc_fullTextXML_by_pmid,current_europe_pmc_fulltextxml_pmid,False,False,404,False,451,0,,,404,0,0,0,0,0,0,0,0,0,0,0
ncbi_bioc_sample,17299597,PMC1790863,10.1371/journal.pone.0000217,europe_pmc_core_search,europe_pmc_core_metadata,True,True,200,True,410,6057,,cc by,,0,0,0,0,0,0,0,0,0,0,0
ncbi_bioc_sample,17299597,PMC1790863,10.1371/journal.pone.0000217,ncbi_bioc_pmc_by_pmcid,ncbi_bioc_pmcid,True,True,200,True,166,71513,has_title;has_abstract;has_fulltext_signal;has_references,CC BY,,0,0,0,0,0,0,1,121,8,41300,0
ncbi_bioc_sample,17299597,PMC1790863,10.1371/journal.pone.0000217,ncbi_bioc_pmc_by_pmid,ncbi_bioc_pmid,True,True,200,True,165,71513,has_title;has_abstract;has_fulltext_signal;has_references,CC BY,,0,0,0,0,0,0,1,121,8,41300,0
ncbi_bioc_sample,17299597,PMC1790863,10.1371/journal.pone.0000217,pmc_oa_manifest,pmc_oa_manifest,True,True,200,True,99,446,has_tgz,CC BY,,0,0,0,0,0,0,0,0,0,0,0
ncbi_bioc_sample,17299597,PMC1790863,10.1371/journal.pone.0000217,pubtator3_biocjson_by_pmcid,pubtator3_pmcid,False,False,400,False,97,35,,,"[""pmids is a mandatory parameter.""]",0,0,0,0,0,0,0,0,0,0,0
ncbi_bioc_sample,17299597,PMC1790863,10.1371/journal.pone.0000217,pubtator3_biocjson_by_pmid,pubtator3_pmid,True,True,200,True,107,2496,has_title;has_abstract;has_entity_annotations,,,0,0,0,0,0,0,1,2,2,1316,2
non_pmc_control,22663011,,10.1056/nejmoa1203421,current_europe_pmc_fullTextXML_by_pmid,current_europe_pmc_fulltextxml_pmid,False,False,404,False,440,0,,,404,0,0,0,0,0,0,0,0,0,0,0
non_pmc_control,22663011,,10.1056/nejmoa1203421,europe_pmc_core_search,europe_pmc_core_metadata,True,True,200,True,443,19462,,,,0,0,0,0,0,0,0,0,0,0,0
non_pmc_control,22663011,,10.1056/nejmoa1203421,ncbi_bioc_pmc_by_pmid,ncbi_bioc_pmid,False,True,200,False,108,6148,,,,0,0,0,0,0,0,0,0,0,0,0
non_pmc_control,22663011,,10.1056/nejmoa1203421,pubtator3_biocjson_by_pmid,pubtator3_pmid,True,True,200,True,130,27805,has_title;has_abstract;has_entity_annotations,,,0,0,0,0,0,0,1,2,2,2062,40
title_lookup_only,41807883,PMC12976322,10.1186/s43556-026-00425-4,current_europe_pmc_fullTextXML_by_pmcid,current_europe_pmc_fulltextxml_pmcid,True,True,200,True,1010,552765,has_title;has_abstract;section_count;paragraph_count;table_count;reference_count,,,1855,41,39,145,3,404,0,0,0,0,0
title_lookup_only,41807883,PMC12976322,10.1186/s43556-026-00425-4,current_europe_pmc_fullTextXML_by_pmid,current_europe_pmc_fulltextxml_pmid,False,False,404,False,480,0,,,404,0,0,0,0,0,0,0,0,0,0,0
title_lookup_only,41807883,PMC12976322,10.1186/s43556-026-00425-4,europe_pmc_core_search,europe_pmc_core_metadata,True,True,200,True,524,9666,,cc by,,0,0,0,0,0,0,0,0,0,0,0
title_lookup_only,41807883,PMC12976322,10.1186/s43556-026-00425-4,ncbi_bioc_pmc_by_pmcid,ncbi_bioc_pmcid,True,True,200,True,297,515906,has_title;has_abstract;has_fulltext_signal;has_tables;has_references,CC BY,,0,0,0,0,0,0,1,516,11,149834,0
title_lookup_only,41807883,PMC12976322,10.1186/s43556-026-00425-4,ncbi_bioc_pmc_by_pmid,ncbi_bioc_pmid,True,True,200,True,290,515906,has_title;has_abstract;has_fulltext_signal;has_tables;has_references,CC BY,,0,0,0,0,0,0,1,516,11,149834,0
title_lookup_only,41807883,PMC12976322,10.1186/s43556-026-00425-4,pmc_oa_manifest,pmc_oa_manifest,True,True,200,True,98,447,has_tgz,CC BY,,0,0,0,0,0,0,0,0,0,0,0
title_lookup_only,41807883,PMC12976322,10.1186/s43556-026-00425-4,pubtator3_biocjson_by_pmcid,pubtator3_pmcid,False,False,400,False,95,35,,,"[""pmids is a mandatory parameter.""]",0,0,0,0,0,0,0,0,0,0,0
title_lookup_only,41807883,PMC12976322,10.1186/s43556-026-00425-4,pubtator3_biocjson_by_pmid,pubtator3_pmid,True,True,200,True,96,8512,has_title;has_abstract;has_entity_annotations,,,0,0,0,0,0,0,1,2,2,1851,12
s2orc_dataset_fit,,,,semantic_scholar_s2orc_dataset,semantic_scholar_s2orc_dataset,True,True,200,True,257,23474,dataset_metadata;bulk_json;license_context,ODC-BY dataset; article-level rights still apply,,0,0,0,0,0,0,0,0,0,0,0
